,location,company,title,salary,description,review,star,country
5,Lucas Heights NSW,ANSTO,Production Maintenance Planner,,"The uploading of material master data into SAP MM modules.
We partner with scientists and engineers and apply new technologies to provide real-world benefits.",,,Australia
3,Sydney NSW,Microsoft,Principal Fabrication Lead,,"Strong structured problem-solving skills (such as Design of Experiments) and the ability to use data analysis techniques (such as JMP, SAS or similar tools) to…",,,Australia
4,Sydney NSW,Macquarie Group Limited,"FRTB Quantitative Analyst/Manager, Quantitative Applications Division",,"You will join our Quantitative Applications Division (QAD), who have global responsibility for ensuring the integrity of key financial models used by Macquarie.",,,Australia
6,Brookvale NSW,Queen B,"Small Business Marketing, Social and PR Manager",$30 - $40 an hour,"You'll have the mind of a scientist (a love of data, facts & figures), the heart of a bee (community minded and hard working!) and the connections of a great…",,,Australia
7,Sydney NSW,Fractal Analytics,"Consultant, Python Developer",,"Supporting Data Science Teams by refining datasets used by data scientists.
5-6 years of experience in data modeling, ETL development, and data warehousing.",,,Australia
8,Sydney Central Business District NSW,Robert Half Australia,Dell boomi Specialist,$850 a week,"Map business processes and data flows across systems.
Experience with Dell Boomi / Experience within a Data Integration Development capacity.",,,Australia
9,Sydney NSW,Clemenger Group,Senior Trading Manager,,"We're fortunate to have some excellent data scientists working with us helping to build the latest and greatest in models.
We use the Google Tech Stack.",,,Australia
1,Sydney NSW,Greythorn Specialist Technology Recruitment,Data Engineer,,"Collaborate with data scientists to determine what data is needed for analysis.
Develop data set processes for data modelling, mining and production.",,,Australia
2,Sydney NSW,hipages,Senior Product Manager,,A data-driven approach to product management and being comfortable collaborating with data scientists to analyse large data sets and extract trends and insights…,,,Australia
3,Sydney Central Business District NSW,Commonwealth Bank,Senior Manager Digital Decision Science,,"We have some of Australia’s leading engineers and data scientists, and work hard to create an environment that feels more tech than corporate.",,,Australia
9,Sydney NSW,Appier,"Director of Sales, Ad Sales (ANZ)",,"Appier was established in 2012 by a passionate team of computer scientists and engineers with expertise in AI, data analysis, distributed systems, and marketing…",,,Australia
0,Hills District NSW,Pettit Pharma & Device Search,Sales Representative,"$70,000 - $90,000 a year","This organisation creates simple, flexible tools to help scientists and educators record and analyse data quickly and efficiently.",,,Australia
2,Sydney NSW,Novotech,Principal Statistical Programmer,,"Develop and validate SAS programs for the tabulation of data, preparation of subject listings, graphical output and statistical analysis of data.",,,Australia
4,Sydney NSW,Quantium,Executive Manager FMCG,,"Using your deep expertise in leveraging data to generate insights and make actionable recomendations, you will help our FMCG clients to think about data in a…",,,Australia
6,Bella Vista NSW,Pettit Pharma & Device Search,Education,"$65,000 a year","This organisation creates simple, flexible tools to help scientists and educators record and analyse data quickly and efficiently.",,,Australia
1,Sydney NSW,Autodesk,"Partner Sales Manager, ANZ",,"Our software is used by everyone - from design professionals, engineers and architects to digital scientists, students and hobbyists.",,,Australia
3,Sydney Central Business District NSW,,"Cloud Engineer optimise AWS for Machine Learning, contract",,"DevOps / TechOps Engineer from AWS with an interest in Machine Learning and Artificial.
Intelligence (and can talk about it!).",,,Australia
4,Sydney NSW,Talent Insights Group,Senior Internal Data Science Consultant,,"Assemble and manage a multi-functional, cross disciplinary team (business users, data engineers, data scientists and IT support) in the end to end agile…",,,Australia
6,Sydney NSW,Sirius People,Senior Machine Learning Engineer,,"You care about agile software processes, data-driven development, reliability, and disciplined experimentation.",,,Australia
7,Sydney NSW,Randstad,junior quantitative analyst - market risk,,"Junior Quantitative Analyst – Market Risk.
What's in it for you?
This is an exciting role for an analyst as it will give you the chance to work with multiple…",,,Australia
3,Sydney Central Business District NSW,Experis,Data Engineer,,"Collaborate with data scientists to determine what data is needed for analysis.
Develop data set processes for data modelling, mining and production.",,,Australia
4,Sydney NSW,Numinous,Cloud Engineer,,"Ability to collaborate with different technical resources like data scientists, architects and senior stakeholders.
An innovative and curious mind.",,,Australia
6,Bella Vista NSW,Pettit Pharma & Device Search,Software Sales,"$65,000 a year","This organisation creates simple, flexible tools to help scientists and educators record and analyse data quickly and efficiently.",,,Australia
7,Sydney NSW,Talent Streams Pty Ltd,Product Manager - Global B2C Retail SaaS business,"$130,000 - $150,000 a year","Lead a small team on a truly global platform.
Make a big impact on how this product works, looks and feels.
Solve challenging retail world problems for the user…",,,Australia
8,Sydney NSW,Continuum Jobs,Metadata specialist,,"Lead technical conversations with domain architects, engineering teams, application developers, data-scientists on solutions and issues specific to data /…",,,Australia
9,Sydney NSW,Expertech,Machine Learning Engineer - Computer Vision - work remote,"$140,000 - $150,000 a year","Then please read along as we are currently recruiting for a Machine Learning Engineer - Computer Vision to work on complex image data in a casual, but very…",,,Australia
6,Sydney NSW,Novotech,Statistical Programming Team Lead,,"Develop and validate SAS programs for the tabulation of data, preparation of subject listings, graphical output and statistical analysis of data.",,,Australia
7,Broadway NSW,University Of Technology Sydney,Postdoctoral Research Fellow / Senior Research Fellow in Alzheimer's Disease,"$127,666 - $146,614 a year","You will undertake laboratory research in concertation with Professor Vissel, generating quality scientific data in a timely and professional manner with a view…",,,Australia
8,Sydney NSW,Onset,Head of Product,"$160,000 - $200,000 a year","They are a close knitted team of engineers, data scientists and business leaders who have built a unique AI product that can help businesses across a range of…",,,Australia
9,Sydney Central Business District NSW,Robert Walters,Senior Quantitative Analyst,,"Work with a growing, group-wide Market Risk team, developing and improving risk mitigation, analysis and prediction.",,,Australia
10,Randwick NSW,Scientia Clinical Research,Clinical Trials Nurse Coordinator,,"You will work closely with a multi-functional team of doctors, scientists, clinical project manager, data managers as well as with external stakeholders.",,,Australia
11,Sydney NSW,Bluefin Resources,Research & Reporting Analyst,$60 - $65 an hour,"Use qualitative and quantitative data from customer feedback to understand needs, expectations, drivers of satisfaction & dissatisfaction amongst our serviced…",,,Australia
12,Sydney NSW,Sustainability Consulting,DevOps Engineer,,"As a DevOps Engineer, you will work with developers, data scientists, QA's, BA's and product specialists to encourage continuous improvement and introduce…",,,Australia
13,Sydney NSW,Bluefin Resources,"Senior Quantitative Analyst, Model Risk",,"Ensuring the scope of independent validation appropriately challenges a model's scope of application, methodology and implementation, data used and its…",,,Australia
14,Sydney NSW,Freelancer.com,Product Manager,"$85,000 - $140,000 a year","Product managers run a team of engineers, data scientists, growth hackers, graphic designers (and other roles).
What makes a good product manager?",,,Australia
6,Sydney NSW,Epictenet Pvt Ltd,Senior Java Developer,,Joey (AI-powered Conversational Chatbot) is the Next Generation CX Platform allowing Financial Institutions to Re-imagine Customer Experience through…,,,Australia
7,Sydney NSW,HAYS,Senior Statistician,,"Newly created opportunity for a Senior Statistician to join a mid size CRO based anywhere in Australia.
This position can be based anywhere in Australia.",,,Australia
8,Sydney NSW,Continuum Recruitment,Metadata specialist,,"Lead technical conversations with domain architects, engineering teams, application developers, data-scientists on solutions and issues specific to data /…",,,Australia
9,Sydney NSW,Bluefin Resources,"Senior Quantitative Analyst, Counter-party Credit",,"Newly Created Position in the Market Risk Team - Counter-party Credit.
Assist in the quantitative modelling for Market Risk and Counter-Party Credit Risk.",,,Australia
11,Sydney NSW,Bluefin Resources,"Senior Manager, Algorithmic Trading & Machine Learning",,"7+ years' experience within a data science or trading development team.
Fluency in programming (Q, Python, R or equivalent) and associated data science tools …",,,Australia
14,Sydney NSW,Rokt,Associate Product Manager,"$70,000 - $80,000 a year","Examples of problems you have solved, including experience working with data and reporting.
You will work with a smart and passionate team of engineers,…",,,Australia
15,Sydney NSW,Limelight Consulting Group Pty Ltd,"Senior DevOps Engineer - Big Data, Machine Learning & AI",,"Working within a cross functional team, alongside data scientists and software engineers, you will be focused on delivering continuous delivery and…",,,Australia
16,,Earth AI Operations Australia,Software Engineer,"$100,000 - $129,999 a year","2 years of experience as a data engineer.
Proficiency with python for solving big data problem.
You will uphold the coding standard and promote the best…",,,Australia
5,Sydney NSW,Latitude IT,Fullstack Software Engineer (Sydney or Melbourne),"$150,000 a year","% Options Within a Growing Business.
Join a young, driven and extremely sharp engineering team.
Our client is currently leading the way in AI PropTech.",,,Australia
